Gene,Pathway,Tissue,GDR,Mutation,D1,D2,D3,D4,D5,D6
G1894,Pathway2,Brain,Moderate,3077,0.79,5.97,3.61,5.99,60.4,59
G19755,Pathway4,Liver,Noevidence,8321,1.2,6.85,4.11,6.88,59.9,61
G53579,Pathway2,Brain,Definitive,2697,0.7,5.61,3.6,5.57,64.4,53
G34857,Pathway4,Kidney,Noevidence,878,0.3,4.32,2.69,4.26,62.7,57
G34526,Pathway4,Blood,Noevidence,868,0.33,4.42,2.7,4.46,60.8,56
G7888,Pathway2,Skin,Moderate,4311,1,6.38,3.89,6.44,60.7,59
G51143,Pathway2,Skin,Limited,2342,0.7,5.65,3.48,5.61,61.8,60
G19630,Pathway4,Blood,Moderate,8246,1,6.34,3.98,6.44,62.3,55
G30454,Pathway3,Breast,Strong,731,0.3,4.28,2.72,4.26,63.7,56
G41446,Pathway2,Skin,Noevidence,1229,0.53,5.23,3.21,5.26,61.2,55
G36259,Pathway2,Skin,Noevidence,935,0.46,4.98,3.06,5,61.3,55
G36737,Pathway2,Blood,Noevidence,954,0.32,4.38,2.72,4.41,61.9,55
G16388,Pathway3,Brain,Limited,6542,1.18,6.75,4.18,6.67,62.3,59
G34669,Pathway2,Liver,Limited,872,0.31,4.37,2.68,4.3,61.8,59
G19268,Pathway4,Breast,Moderate,7992,1.09,6.74,4.06,6.81,59.9,56
G36468,Pathway5,Blood,Noevidence,942,0.31,4.42,2.68,4.39,60.8,55
G2139,Pathway4,Liver,Moderate,3124,0.77,5.81,3.66,5.84,62.8,59
G47990,Pathway3,Brain,Moderate,533,0.32,4.37,2.75,4.4,62.7,57
G27515,Pathway6,Skin,Limited,18242,3.01,9.36,5.62,9.31,60.2,59
G39759,Pathway4,Skin,Noevidence,1094,0.51,5.17,3.17,5.19,61.3,55
G53699,Pathway5,Skin,Definitive,2717,1.05,6.39,4.12,6.32,64.8,55
G17493,Pathway4,Breast,Noevidence,7027,1.05,6.51,4.01,6.58,61.3,57
G1723,Pathway4,Liver,Noevidence,561,0.32,4.38,2.71,4.4,61.7,57
G22401,Pathway4,Liver,Noevidence,10427,1.4,7.12,4.4,7.05,62.1,55
G39244,Pathway6,Liver,Moderate,1068,0.51,5.16,3.1,5.13,60.3,63
G51636,Pathway4,Liver,Noevidence,544,0.31,4.36,2.73,4.39,62.4,54
G2532,Pathway3,Lymphnode,Definitive,3205,0.71,5.87,3.43,5.81,58.7,62
G38216,Pathway2,Brain,Limited,1016,0.43,4.83,3,4.79,62.4,56
G25185,Pathway6,Liver,Noevidence,13769,2.18,8.35,5.14,8.24,62,57
G49255,Pathway4,Skin,Limited,2087,0.7,5.7,3.51,5.62,62,60
G39414,Pathway3,Breast,Noevidence,1076,0.41,4.81,2.97,4.77,62,56
G3346,Pathway5,Lymphnode,Noevidence,3378,0.73,5.8,3.58,5.82,61.6,55
G20337,Pathway4,Breast,Limited,8736,1.25,7.03,4.23,6.92,60,61
G45492,Pathway3,Brain,Moderate,1679,0.56,5.41,3.24,5.38,60,57
G34505,Pathway1,Liver,Moderate,868,0.4,4.71,2.88,4.77,60.8,59
G46869,Pathway4,Breast,Noevidence,1813,0.53,5.18,3.24,5.16,62.7,55
G628,Pathway3,Liver,Limited,2841,0.73,5.9,3.55,5.87,60.3,59
G9842,Pathway4,Skin,Noevidence,4675,1.08,6.55,4.06,6.57,61.9,58
G36060,Pathway4,Lymphnode,Noevidence,924,0.31,4.3,2.7,4.32,62.6,57
G25488,Pathway4,Breast,Limited,14268,1.56,7.53,4.57,7.49,60.9,58
G42124,Pathway5,Liver,Noevidence,1279,0.5,5.11,3.19,5.13,62.3,54
G1058,Pathway6,Liver,Limited,558,0.31,4.37,2.65,4.34,60.8,58
G49847,Pathway1,Breast,Moderate,2170,0.53,5.27,3.2,5.3,60.5,58
G43117,Pathway5,Liver,Strong,1385,0.52,5.1,3.23,5.05,63.6,57
G1397,Pathway4,Lymphnode,Noevidence,559,0.24,3.99,2.47,4.02,61.8,55
G493,Pathway3,Kidney,Noevidence,2822,0.6,5.37,3.34,5.4,62,55
G23815,Pathway1,Brain,Moderate,11873,1.53,7.52,4.46,7.55,59.2,57
G53160,Pathway3,Blood,Noevidence,2625,0.59,5.36,3.35,5.38,62.4,56
G14981,Pathway4,Liver,Moderate,6036,1.03,6.41,4,6.48,62.1,57
G24136,Pathway4,Liver,Limited,12308,1.5,7.32,4.56,7.28,62.5,59
G48949,Pathway7,Liver,Noevidence,2047,0.71,5.71,3.52,5.74,61.5,59
G11595,Pathway1,Skin,Limited,5042,1.09,6.65,4.07,6.62,61.3,58
G1464,Pathway3,Lymphnode,Strong,2980,0.64,5.69,3.34,5.71,58.6,61
G37117,Pathway2,Breast,Strong,970,0.43,4.89,2.94,4.93,59.9,61
G19344,Pathway4,Kidney,Noevidence,8044,1.06,6.57,4,6.55,61,57
G37528,Pathway2,Lymphnode,Noevidence,987,0.31,4.33,2.7,4.35,62.2,54
G48027,Pathway6,Skin,Strong,1922,0.71,5.66,3.48,5.7,61.3,63
G23128,Pathway4,Brain,Limited,11153,1.51,7.27,4.56,7.3,62.6,58
G49330,Pathway1,Breast,Limited,2093,0.57,5.43,3.29,5.37,60.9,57
G43508,Pathway3,Blood,Noevidence,1422,0.43,4.84,2.99,4.81,62,57
G3202,Pathway2,Brain,Noevidence,3345,0.78,5.94,3.68,6,61.6,56
G33107,Pathway4,Liver,Noevidence,816,0.39,4.68,2.92,4.74,62,57
G9352,Pathway5,Skin,Noevidence,4584,1.13,6.67,4.18,6.71,62.5,57
G36858,Pathway1,Skin,Strong,958,0.5,5.05,3.16,4.96,63.1,56
G53751,Pathway4,Breast,Noevidence,2724,0.72,5.71,3.57,5.68,62.7,55
G22110,Pathway7,Brain,Noevidence,10137,1.87,7.88,4.89,7.82,62.3,57
G16784,Pathway5,Brain,Limited,6686,1.24,6.91,4.17,6.94,60.2,60
G36096,Pathway3,Blood,Noevidence,926,0.32,4.4,2.72,4.42,61.7,56
G4283,Pathway5,Skin,Limited,3584,1,6.53,3.91,6.51,60,62
G44636,Pathway4,Liver,Moderate,1608,0.57,5.23,3.3,5.28,62.8,57
G12850,Pathway6,Liver,Noevidence,5357,1.08,6.57,4.07,6.6,61.8,54.2
G40920,Pathway4,Blood,Noevidence,1179,0.42,4.78,2.97,4.84,61.7,55
G18925,Pathway7,Kidney,Noevidence,7773,1.42,7.19,4.47,7.24,61.9,55
G39903,Pathway1,Liver,Noevidence,1103,0.42,4.83,2.99,4.8,62.1,54
G21216,Pathway4,Skin,Noevidence,9359,1.54,7.41,4.58,7.44,61.7,56
G51665,Pathway6,Breast,Moderate,2398,0.7,5.65,3.54,5.69,62.4,56
G31210,Pathway1,Brain,Noevidence,756,0.32,4.42,2.71,4.39,61.5,56
G51,Pathway3,Brain,Moderate,404,0.24,4.02,2.45,4.03,60.9,61
G28766,Pathway2,Liver,Noevidence,680,0.31,4.34,2.7,4.37,62,55
G33468,Pathway3,Liver,Limited,828,0.32,4.44,2.69,4.41,60.8,58
G43213,Pathway2,Brain,Moderate,1397,0.57,5.28,3.29,5.32,62.1,58
G36582,Pathway4,Lymphnode,Noevidence,946,0.33,4.48,2.76,4.5,61.5,55
G36889,Pathway4,Lymphnode,Noevidence,959,0.35,4.6,2.78,4.64,60.2,57
G20874,Pathway3,Kidney,Noevidence,9092,1.05,6.52,4.06,6.55,62.1,54
G14937,Pathway7,Liver,Noevidence,6015,1.23,6.93,4.23,6.88,61.2,57
G7535,Pathway5,Skin,Noevidence,4243,1.02,6.53,3.96,6.57,60.5,56
G30531,Pathway1,Brain,Limited,733,0.38,4.57,2.86,4.63,62.2,58
G32838,Pathway6,Breast,Noevidence,807,0.44,4.89,3.03,4.92,61.8,55
G49841,Pathway4,Kidney,Noevidence,2169,0.59,5.35,3.34,5.39,62.2,56
G52873,Pathway3,Kidney,Noevidence,2581,0.55,5.29,3.29,5.27,62.3,54
G530,Pathway6,Skin,Limited,2826,0.9,6.11,3.79,6.07,62.2,59
G51684,Pathway4,Lung,Definitive,2398,1,6.2,4.01,6.14,64.9,56
G46692,Pathway4,Breast,Noevidence,1791,0.53,5.21,3.21,5.23,61.5,57
G412,Pathway6,Breast,Noevidence,555,0.34,4.5,2.8,4.53,62,56
G39304,Pathway5,Brain,Noevidence,1069,0.44,4.91,3.03,4.87,61.9,56
G37746,Pathway1,Kidney,Definitive,997,0.31,4.61,2.49,4.58,54.2,65
G6082,Pathway6,Skin,Limited,3971,1.01,6.42,3.98,6.39,62.1,59
G43955,Pathway3,Brain,Moderate,516,0.31,4.35,2.65,4.38,60.7,58
G49066,Pathway4,Kidney,Noevidence,2058,0.56,5.32,3.23,5.33,60.7,56
G30073,Pathway2,Brain,Limited,720,0.32,4.39,2.71,4.36,61.9,59
G25767,Pathway5,Brain,Moderate,14725,2.01,7.96,5.03,7.88,63.5,57
G7453,Pathway5,Breast,Limited,4234,0.9,6.12,3.82,6.07,62.7,60
G53734,Pathway3,Skin,Limited,2723,0.82,6.07,3.65,6.03,60.3,57
G32150,Pathway3,Lymphnode,Moderate,787,0.28,4.27,2.56,4.29,59.8,56
G43087,Pathway2,Brain,Moderate,1381,0.55,5.21,3.3,5.23,63.2,58
G29512,Pathway4,Brain,Moderate,702,0.4,4.66,2.89,4.72,61.6,59
G11753,Pathway4,Skin,Noevidence,5078,1.16,6.78,4.18,6.8,61.6,55
G916,Pathway3,Breast,Limited,2879,0.71,5.71,3.57,5.67,62.7,58
G16281,Pathway4,Liver,Noevidence,6512,1.01,6.53,3.94,6.58,60.1,55
G51416,Pathway5,Brain,Noevidence,2371,0.76,5.87,3.65,5.83,62.4,55
G48732,Pathway4,Kidney,Limited,2012,0.52,5.16,3.15,5.14,61.2,59
G25101,Pathway1,Liver,Moderate,13629,1.5,7.24,4.63,7.28,63.8,55
G6729,Pathway5,Blood,Noevidence,577,0.25,4.06,2.53,4.03,62.5,56
G48378,Pathway7,Breast,Strong,1964,0.88,5.98,3.8,5.9,64,56
G13707,Pathway5,Liver,Limited,5601,1.09,6.62,4.12,6.55,62.6,56
G6650,Pathway2,Brain,Limited,4092,0.9,6.26,3.73,6.21,59.8,58
G18797,Pathway2,Kidney,Strong,7692,1,6.32,4.04,6.29,64.1,57
G53501,Pathway2,Brain,Moderate,2685,0.71,5.63,3.59,5.68,63.5,57
G33859,Pathway2,Liver,Noevidence,844,0.3,4.38,2.63,4.36,60.2,57
G20314,Pathway4,Liver,Noevidence,8728,1.32,7.05,4.38,6.98,62.4,57
G40250,Pathway3,Brain,Limited,1125,0.5,5.15,3.06,5.12,59.6,61
G37162,Pathway1,Liver,Noevidence,972,0.32,4.43,2.74,4.39,62.1,56
G48187,Pathway1,Brain,Moderate,1945,0.65,5.52,3.46,5.57,62.4,58
G40538,Pathway3,Lymphnode,Noevidence,1148,0.34,4.53,2.74,4.5,60.7,57
G49103,Pathway4,Kidney,Noevidence,2064,0.55,5.27,3.22,5.31,60.8,56.9
G44649,Pathway4,Kidney,Moderate,522,0.28,4.25,2.6,4.27,61.1,56
G11743,Pathway2,Skin,Moderate,5073,1.1,6.59,4.14,6.55,63,56
G49217,Pathway4,Blood,Noevidence,2080,0.54,5.18,3.24,5.23,62.2,56
G18909,Pathway7,Brain,Moderate,7759,1.52,7.45,4.47,7.47,59.9,57
G25857,Pathway5,Brain,Noevidence,14935,2.07,8.38,5.05,8.3,60.6,56
G16513,Pathway3,Liver,Moderate,6598,1.01,6.46,3.88,6.48,60,63
G44264,Pathway1,Brain,Moderate,1576,0.53,5.23,3.21,5.26,61.2,54
G43883,Pathway2,Brain,Moderate,1453,0.58,5.41,3.23,5.42,59.6,57
G32028,Pathway4,Liver,Noevidence,778,0.38,4.69,2.88,4.72,61.2,55
G33915,Pathway2,Liver,Noevidence,844,0.3,4.29,2.66,4.24,62.4,57
G18670,Pathway4,Breast,Noevidence,7632,1.12,6.76,4.11,6.72,61,56
G25328,Pathway6,Skin,Strong,14027,2.02,8.31,4.85,8.35,58.2,57
G20322,Pathway6,Brain,Strong,8736,1.5,7.24,4.64,7.19,64.3,55
G26084,Pathway2,Liver,Limited,15316,1.54,7.37,4.61,7.33,62.7,58
G10355,Pathway3,Brain,Limited,4770,1.04,6.53,4,6.47,61.5,59
G43411,Pathway1,Skin,Noevidence,1412,0.53,5.24,3.23,5.19,61.9,55
G53786,Pathway2,Skin,Strong,2728,0.89,6,3.84,5.95,64.3,65
G42875,Pathway4,Blood,Noevidence,1358,0.45,4.96,3.05,4.93,61.7,56
G51364,Pathway3,Skin,Noevidence,2365,0.78,5.99,3.63,6,60.6,55
G15541,Pathway5,Brain,Moderate,6229,1.21,6.89,4.16,6.93,60.2,58
G14592,Pathway5,Liver,Noevidence,5888,1.1,6.64,4.08,6.67,61.3,56
G1074,Pathway5,Brain,Limited,558,0.31,4.39,2.7,4.36,61.7,59
G48893,Pathway3,Breast,Noevidence,2039,0.57,5.35,3.28,5.36,61.3,56
G15294,Pathway4,Liver,Noevidence,6139,1.17,6.86,4.2,6.8,61.5,57
G31369,Pathway3,Kidney,Noevidence,761,0.33,4.47,2.77,4.5,61.8,54
G18176,Pathway7,Liver,Strong,7368,1.5,7.31,4.38,7.38,59.6,60
G11789,Pathway3,Brain,Limited,5087,1.03,6.49,3.97,6.42,61.5,59
G48796,Pathway3,Skin,Strong,2023,0.73,5.71,3.63,5.75,63.4,55
G40012,Pathway3,Liver,Noevidence,1107,0.41,4.78,2.94,4.73,61.8,57
G37601,Pathway2,Kidney,Moderate,485,0.23,3.91,2.44,3.95,62.1,62
G4911,Pathway3,Brain,Moderate,3724,0.9,6.14,3.8,6.2,61.6,56
G4924,Pathway6,Liver,Noevidence,3726,0.91,6.13,3.83,6.18,62.2,59
G52006,Pathway2,Brain,Limited,2444,0.7,5.71,3.49,5.69,61.2,60
G47497,Pathway3,Liver,Noevidence,1865,0.55,5.29,3.24,5.25,61.4,57
G50527,Pathway2,Liver,Noevidence,2274,0.7,5.72,3.53,5.78,61.4,57
G34999,Pathway3,Blood,Noevidence,882,0.31,4.36,2.71,4.39,61.9,53.5
G24902,Pathway1,Brain,Noevidence,13329,1.52,7.47,4.55,7.4,61.2,57
G15513,Pathway6,Skin,Limited,6214,1.52,7.36,4.56,7.27,62.2,59
G13747,Pathway7,Breast,Noevidence,5604,1.21,6.78,4.2,6.86,61.8,56.2
G30499,Pathway1,Brain,Noevidence,732,0.31,4.35,2.71,4.33,62.4,56
G5486,Pathway4,Brain,Moderate,3841,0.9,6.14,3.82,6.18,62,58
G4543,Pathway5,Skin,Strong,3640,1,6.28,4,6.24,63.8,55
G18390,Pathway1,Brain,Moderate,619,0.32,4.38,2.64,4.4,60.1,60
G39546,Pathway5,Lymphnode,Limited,1080,0.32,4.39,2.68,4.37,61.2,58
G10700,Pathway3,Brain,Moderate,4846,1.01,6.39,4.03,6.3,63.5,59
G22849,Pathway5,Liver,Strong,10886,1.5,7.22,4.6,7.17,63.9,60
G27667,Pathway4,Brain,Noevidence,18663,2.04,8.32,4.92,8.37,59,57
G47345,Pathway1,Liver,Limited,1845,0.5,5.12,3.12,5.09,61.1,58
G36536,Pathway6,Breast,Noevidence,945,0.4,4.72,2.96,4.68,63,56
G8342,Pathway4,Skin,Strong,4397,1.01,6.51,3.88,6.58,59.3,62
G13416,Pathway5,Skin,Limited,5510,1.2,6.83,4.24,6.75,62.4,57
G22053,Pathway4,Lymphnode,Noevidence,10082,1.16,6.79,4.21,6.73,62.3,55
G35349,Pathway2,Brain,Limited,898,0.38,4.67,2.85,4.64,61.2,59
